algoritmo,dataset,replica,fo,planificados,inalcanzable,sin_ruta,tiempo_norm_prom,tiempo_prom_min,hops_prom,violaciones_sla,tiempo_computo_s,total_envios
GA,pequeño,1,97.2505,20,0,0,2.7495,711.65,1.60,0,15.7430,20
GA,pequeño,2,97.2505,20,0,0,2.7495,711.65,1.60,0,15.4090,20
GA,pequeño,3,97.2505,20,0,0,2.7495,711.65,1.60,0,15.4020,20
GA,pequeño,4,97.2505,20,0,0,2.7495,711.65,1.60,0,15.3610,20
GA,pequeño,5,97.2505,20,0,0,2.7495,711.65,1.60,0,15.4160,20
GA,pequeño,6,97.2505,20,0,0,2.7495,711.65,1.60,0,15.4040,20
GA,pequeño,7,97.2505,20,0,0,2.7495,711.65,1.60,0,15.3640,20
GA,pequeño,8,97.2505,20,0,0,2.7495,711.65,1.60,0,15.4070,20
GA,pequeño,9,97.2505,20,0,0,2.7495,711.65,1.60,0,15.3960,20
GA,pequeño,10,97.2505,20,0,0,2.7495,711.65,1.60,0,15.3960,20
GA,pequeño,11,97.2505,20,0,0,2.7495,711.65,1.60,0,15.4220,20
GA,pequeño,12,97.2505,20,0,0,2.7495,711.65,1.60,0,15.4050,20
GA,pequeño,13,97.2505,20,0,0,2.7495,711.65,1.60,0,15.4010,20
GA,pequeño,14,97.2505,20,0,0,2.7495,711.65,1.60,0,15.3890,20
GA,pequeño,15,97.2505,20,0,0,2.7495,711.65,1.60,0,15.3490,20
GA,pequeño,16,97.2505,20,0,0,2.7495,711.65,1.60,0,15.3660,20
GA,pequeño,17,97.2505,20,0,0,2.7495,711.65,1.60,0,15.3750,20
GA,pequeño,18,97.2505,20,0,0,2.7495,711.65,1.60,0,15.4160,20
GA,pequeño,19,97.2505,20,0,0,2.7495,711.65,1.60,0,15.3860,20
GA,pequeño,20,97.2505,20,0,0,2.7495,711.65,1.60,0,15.4460,20
GA,pequeño,21,97.2505,20,0,0,2.7495,711.65,1.60,0,15.4280,20
GA,pequeño,22,97.2505,20,0,0,2.7495,711.65,1.60,0,15.3660,20
GA,pequeño,23,97.2505,20,0,0,2.7495,711.65,1.60,0,15.3830,20
GA,pequeño,24,97.2505,20,0,0,2.7495,711.65,1.60,0,15.4190,20
GA,pequeño,25,97.2505,20,0,0,2.7495,711.65,1.60,0,15.4330,20
GA,pequeño,26,97.2505,20,0,0,2.7495,711.65,1.60,0,15.3740,20
GA,pequeño,27,97.2505,20,0,0,2.7495,711.65,1.60,0,15.3950,20
GA,pequeño,28,97.2505,20,0,0,2.7495,711.65,1.60,0,15.3920,20
GA,pequeño,29,97.2505,20,0,0,2.7495,711.65,1.60,0,15.3820,20
GA,pequeño,30,97.2505,20,0,0,2.7495,711.65,1.60,0,15.3770,20
ACO,pequeño,1,96.2651,20,0,0,3.7349,995.45,2.05,0,16.5400,20
ACO,pequeño,2,96.3759,20,0,0,3.6241,962.90,2.00,0,16.3840,20
ACO,pequeño,3,96.2712,20,0,0,3.7288,974.15,1.95,0,16.2210,20
ACO,pequeño,4,95.8432,20,0,0,4.1568,1116.30,1.90,0,16.1540,20
ACO,pequeño,5,95.9226,20,0,0,4.0774,1045.55,2.10,0,16.2610,20
